0,1.0,0.983051
1,1.0,1.0
2,1.0,1.0
3,1.0,1.0
4,1.0,1.0
5,0.995726,1.0
6,0.995726,1.0
7,0.995726,1.0
8,0.995726,1.0
9,0.995726,1.0
10,0.995726,1.0
11,0.995726,1.0
12,0.995726,0.983051
13,0.995726,0.983051
14,0.995726,0.983051
15,0.995726,0.983051
16,0.995726,0.983051
17,0.995726,0.983051
18,1.0,0.983051
19,1.0,0.983051
20,1.0,0.983051
21,1.0,0.983051
22,1.0,0.983051
23,1.0,0.983051
24,1.0,0.983051
25,1.0,0.983051
26,1.0,0.983051
27,1.0,0.983051
28,1.0,0.983051
29,1.0,0.983051
30,1.0,0.983051
31,1.0,0.983051
32,1.0,0.983051
33,1.0,0.983051
34,1.0,0.983051
35,1.0,0.983051
36,1.0,0.983051
37,1.0,1.0
38,1.0,1.0
39,1.0,0.983051
40,1.0,1.0
41,1.0,1.0
42,1.0,1.0
43,1.0,1.0
44,1.0,1.0
45,1.0,1.0
46,1.0,1.0
47,1.0,1.0
48,1.0,1.0
49,1.0,1.0
50,1.0,1.0
51,1.0,1.0
